,i,j,i_label,j_label,mobius
0,0,1,0,1,0
1,0,2,0,01,-1
2,0,3,0,0|1,0
3,1,0,1,0,0
4,1,2,1,01,-1
5,1,3,1,0|1,0
6,2,0,01,0,0
7,2,1,01,1,0
8,2,3,01,0|1,0
9,3,0,0|1,0,-1
10,3,1,0|1,1,-1
11,3,2,0|1,01,1
