,i,j,i_label,j_label,mobius
194,11,7,1|02,0|1,0
195,11,8,1|02,0|2,0
196,11,9,1|02,0|12,0
197,11,10,1|02,1|2,0
198,11,12,1|02,2|01,0
199,11,13,1|02,01|02,0
200,11,14,1|02,01|12,1
201,11,15,1|02,02|12,0
202,11,16,1|02,0|1|2,0
203,11,17,1|02,01|02|12,-1
204,12,0,2|01,0,0
205,12,1,2|01,1,0
206,12,2,2|01,2,-1
207,12,3,2|01,01,0
208,12,4,2|01,02,0
209,12,5,2|01,12,0
210,12,6,2|01,012,0
211,12,7,2|01,0|1,0
212,12,8,2|01,0|2,0
213,12,9,2|01,0|12,0
214,12,10,2|01,1|2,0
215,12,11,2|01,1|02,0
216,12,13,2|01,01|02,0
217,12,14,2|01,01|12,0
218,12,15,2|01,02|12,1
219,12,16,2|01,0|1|2,0
220,12,17,2|01,01|02|12,-1
221,13,0,01|02,0,0
222,13,1,01|02,1,0
223,13,2,01|02,2,0
224,13,3,01|02,01,-1
225,13,4,01|02,02,-1
226,13,5,01|02,12,0
227,13,6,01|02,012,1
228,13,7,01|02,0|1,0
229,13,8,01|02,0|2,0
230,13,9,01|02,0|12,0
231,13,10,01|02,1|2,0
232,13,11,01|02,1|02,0
233,13,12,01|02,2|01,0
234,13,14,01|02,01|12,0
235,13,15,01|02,02|12,0
236,13,16,01|02,0|1|2,0
237,13,17,01|02,01|02|12,0
238,14,0,01|12,0,0
239,14,1,01|12,1,0
240,14,2,01|12,2,0
241,14,3,01|12,01,-1
242,14,4,01|12,02,0
243,14,5,01|12,12,-1
244,14,6,01|12,012,1
245,14,7,01|12,0|1,0
246,14,8,01|12,0|2,0
247,14,9,01|12,0|12,0
248,14,10,01|12,1|2,0
249,14,11,01|12,1|02,0
250,14,12,01|12,2|01,0
251,14,13,01|12,01|02,0
252,14,15,01|12,02|12,0
253,14,16,01|12,0|1|2,0
254,14,17,01|12,01|02|12,0
255,15,0,02|12,0,0
256,15,1,02|12,1,0
257,15,2,02|12,2,0
258,15,3,02|12,01,0
259,15,4,02|12,02,-1
260,15,5,02|12,12,-1
261,15,6,02|12,012,1
262,15,7,02|12,0|1,0
263,15,8,02|12,0|2,0
264,15,9,02|12,0|12,0
265,15,10,02|12,1|2,0
266,15,11,02|12,1|02,0
267,15,12,02|12,2|01,0
268,15,13,02|12,01|02,0
269,15,14,02|12,01|12,0
270,15,16,02|12,0|1|2,0
271,15,17,02|12,01|02|12,0
272,16,0,0|1|2,0,0
273,16,1,0|1|2,1,0
274,16,2,0|1|2,2,0
275,16,3,0|1|2,01,0
276,16,4,0|1|2,02,0
277,16,5,0|1|2,12,0
278,16,6,0|1|2,012,0
279,16,7,0|1|2,0|1,-1
280,16,8,0|1|2,0|2,-1
281,16,9,0|1|2,0|12,1
282,16,10,0|1|2,1|2,-1
283,16,11,0|1|2,1|02,1
284,16,12,0|1|2,2|01,1
285,16,13,0|1|2,01|02,0
286,16,14,0|1|2,01|12,0
287,16,15,0|1|2,02|12,0
288,16,17,0|1|2,01|02|12,-1
289,17,0,01|02|12,0,0
290,17,1,01|02|12,1,0
291,17,2,01|02|12,2,0
292,17,3,01|02|12,01,1
293,17,4,01|02|12,02,1
294,17,5,01|02|12,12,1
295,17,6,01|02|12,012,-1
296,17,7,01|02|12,0|1,0
297,17,8,01|02|12,0|2,0
298,17,9,01|02|12,0|12,0
299,17,10,01|02|12,1|2,0
300,17,11,01|02|12,1|02,0
301,17,12,01|02|12,2|01,0
302,17,13,01|02|12,01|02,-1
303,17,14,01|02|12,01|12,-1
304,17,15,01|02|12,02|12,-1
305,17,16,01|02|12,0|1|2,0
